Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2017-2018)
Acanya,Clindamycin Phos/Benzoyl Perox,1,"$146,741.77","13,850",254,143,$10.60,$577.72,"$1,026.17",0,10.27%
Acarbose,Acarbose,7,"$9,645,699.36","26,858,166","195,017","42,901",$0.36,$49.46,$224.84,0,-3.57%
Accolate,Zafirlukast,1,"$335,122.21","89,645",951,166,$3.74,$352.39,"$2,018.81",0,0.61%
Accupril,Quinapril HCl,1,"$2,823,256.85","609,380","7,383","1,640",$4.63,$382.40,"$1,721.50",0,13.88%
Accuretic,Quinapril/Hydrochlorothiazide,1,"$354,071.71","80,439",932,229,$4.40,$379.91,"$1,546.16",0,12.98%
Acebutolol HCl,Acebutolol HCl,3,"$3,489,919.77","10,349,242","105,409","21,867",$0.34,$33.11,$159.60,0,5.31%
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,"$507,947.64","203,714","2,277","1,070",$2.49,$223.08,$474.72,0,4.43%
Acetaminophen-Codeine,Acetaminophen With Codeine,12,"$38,225,844.86","185,814,426","3,352,740","1,535,351",$0.21,$11.40,$24.90,0,4.52%
Acetasol HC,Hydrocortisone/Acetic Acid,1,"$7,557.47",750,67,57,$10.08,$112.80,$132.59,0,-10.32%
Acetazolamide,Acetazolamide,11,"$34,847,477.71","19,721,300","318,779","117,599",$1.76,$109.32,$296.32,0,-11.41%
Acetazolamide Sodium,Acetazolamide Sodium,1,"$25,783.77","1,488",61, ,$17.33,$422.68, ,0,-12.24%
Acetic Acid*,Acetic Acid,5,"$1,506,019.70","48,936,037","71,461","39,144",$0.92,$21.07,$38.47,0,8.56%
Acetic Acid-Aluminum,Acetic Acid/Aluminum Acetate,1,"$1,879.11","1,920",31,28,$0.98,$60.62,$67.11,0,5.26%
Acetylcysteine*,Acetylcysteine,7,"$2,142,350.34","2,004,670","24,240","6,766",$1.06,$88.38,$316.63,0,1.50%
Aciphex,Rabeprazole Sodium,1,"$22,178,234.16","1,299,928","18,579","3,781",$17.06,"$1,193.73","$5,865.71",0,0.80%
Aciphex Sprinkle,Rabeprazole Sodium,1,"$89,129.75","5,107",83,34,$17.47,"$1,073.85","$2,621.46",0,7.72%
Acitretin,Acitretin,7,"$25,209,401.71","1,509,428","41,046","8,660",$16.82,$614.17,"$2,911.02",0,-15.83%
Actemra*,Tocilizumab,1,"$130,523,440.19","185,716","36,098","5,786","$1,015.82","$3,615.81","$22,558.49",0,12.02%
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,"$27,574.35",816,786,704,$33.80,$35.08,$39.17,1,4.69%
Actigall,Ursodiol,1,"$856,611.14","92,501",634,136,$9.26,"$1,351.12","$6,298.61",0,7.74%
Actimmune,"Interferon Gamma-1b,Recomb.",1,"$20,697,515.11","2,307",369,53,"$8,971.61","$56,090.83","$390,519.15",0,9.18%
Actiq,Fentanyl Citrate,1,"$1,327,670.59","9,625",71, ,$129.56,"$18,699.59", ,1,6.00%
Activella,Estradiol/Norethindrone Acet,1,"$513,016.96","61,686","1,326",256,$8.34,$386.89,"$2,003.97",0,8.40%
Actonel,Risedronate Sodium,1,"$3,671,232.33","36,899","6,597","1,445",$173.70,$556.50,"$2,540.65",0,10.02%
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,"$461,467.05","47,787",556,113,$9.66,$829.98,"$4,083.78",0,2.67%
Actoplus Met XR,Pioglitazone HCl/Metformin HCl,1,"$1,648,279.84","136,444","1,541",536,$13.11,"$1,069.62","$3,075.15",0,2.66%
Actos,Pioglitazone HCl,1,"$2,784,260.16","159,372","2,982",632,$17.42,$933.69,"$4,405.47",0,-0.74%
Acular,Ketorolac Tromethamine,1,"$89,458.99","2,401",383,216,$37.26,$233.57,$414.16,0,0.57%
Acular Ls,Ketorolac Tromethamine,1,"$55,760.95","1,170",183,87,$47.66,$304.70,$640.93,1,-0.89%
Acuvail,Ketorolac Tromethamine/PF,1,"$350,759.69","34,304",774,343,$10.23,$453.18,"$1,022.62",0,11.69%
Acyclovir Sodium,Acyclovir Sodium,2,"$78,629.18","100,176",345,113,$0.81,$227.91,$695.83,0,64.97%
Acyclovir*,Acyclovir,29,"$48,320,119.59","122,324,122","1,796,761","675,047",$0.71,$26.89,$71.58,0,-18.99%
Aczone,Dapsone,1,"$1,334,285.05","141,030","1,935","1,099",$9.46,$689.55,"$1,214.09",0,9.42%
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",1,"$10,981,973.61","136,166","191,746","190,992",$80.81,$57.27,$57.50,0,-11.54%
Adagen,PEGademase Bovine,1,"$1,921,895.82",546,13, ,"$3,519.96","$147,838.14", ,1,3.38%
Adalat Cc,Nifedipine,1,"$44,088.70","17,449",281,75,$2.68,$156.90,$587.85,0,28.82%
Adapalene,Adapalene,8,"$1,544,791.19","509,104","10,622","5,096",$3.03,$145.43,$303.14,0,-4.59%
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,4,"$153,587.07","32,610",662,405,$4.73,$232.00,$379.23,0,-30.09%
Adcirca,Tadalafil,1,"$266,243,840.60","3,898,308","64,463","8,976",$68.30,"$4,130.18","$29,661.75",0,12.75%
Adderall,Dextroamphetamine/Amphetamine,1,"$3,859,747.43","608,506","8,496","1,552",$6.34,$454.30,"$2,486.95",0,7.73%
Adderall XR,Dextroamphetamine/Amphetamine,1,"$8,035,488.33","1,677,103","34,605","5,955",$4.84,$232.21,"$1,349.37",0,-4.07%
Adefovir Dipivoxil,Adefovir Dipivoxil,2,"$5,325,462.51","189,521","5,782",740,$28.10,$921.04,"$7,196.57",0,-0.33%
Adempas,Riociguat,1,"$256,166,028.16","2,292,012","26,246","3,192",$111.77,"$9,760.19","$80,252.52",0,5.18%
Adlyxin,Lixisenatide,1,"$63,298.03",636,70,26,$99.67,$904.26,"$2,434.54",0,8.76%
Admelog,Insulin Lispro,1,"$403,661.76","17,019","1,069",658,$23.72,$377.61,$613.47,0, 
Admelog Solostar,Insulin Lispro,1,"$1,124,957.97","36,927","2,995","1,645",$30.46,$375.61,$683.87,0, 
Adrenalin,Epinephrine,1,"$21,787.27","7,243",490,395,$2.83,$44.46,$55.16,1,-79.48%
Adrucil,Fluorouracil,1,"$2,555.37","4,771",78,27,$0.56,$32.76,$94.64,0,35.40%
Advair Diskus,Fluticasone Propion/Salmeterol,1,"$2,394,014,929.40","356,769,179","4,398,707","1,031,076",$6.71,$544.25,"$2,321.86",0,7.79%
Advair HFA,Fluticasone Propion/Salmeterol,1,"$260,118,570.65","7,031,635","461,839","121,673",$36.95,$563.22,"$2,137.85",0,9.96%
Advocate Pen Needle,"Pen Needle, Diabetic",1,"$99,685.13","178,610","1,282",745,$0.56,$77.76,$133.81,0,2.88%
Advocate Pen Needles,"Pen Needle, Diabetic",1,"$1,480,139.85","3,118,960","24,472","8,093",$0.47,$60.48,$182.89,0,2.33%
Advocate Syringes,"Syring-Needl,Disp,Insul,0.3 Ml",1,"$75,711.50","152,813","1,886",544,$0.50,$40.14,$139.18,0,-0.46%
Advocate Syringes,"Syringe And Needle,Insulin,1ml",1,"$304,063.64","644,564","5,426","1,771",$0.47,$56.04,$171.69,0,-1.58%
Advocate Syringes,"Syringe-Needle,Insulin,0.5 Ml",1,"$244,656.42","510,744","5,600","1,684",$0.48,$43.69,$145.28,0,-1.34%
Adzenys XR-ODT,Amphetamine,1,"$326,765.14","30,393",843,200,$10.75,$387.62,"$1,633.83",0,9.07%
Aerospan,Flunisolide,1,"$46,686.00","2,020",215,145,$23.11,$217.14,$321.97,0,2.33%
Afeditab Cr,Nifedipine,1,"$185,527.48","339,006","7,182","2,599",$0.55,$25.83,$71.38,0,-0.31%
Afinitor,Everolimus,1,"$386,491,662.51","727,436","25,463","5,544",$531.41,"$15,178.56","$69,713.50",0,11.79%
Afinitor Disperz,Everolimus,1,"$4,462,227.20","8,462",183,34,$529.73,"$24,383.76","$131,241.98",0,11.37%
Afrezza,"Insulin Regular, Human",1,"$4,495,446.24","749,550","4,143","1,135",$6.00,"$1,085.07","$3,960.75",0,56.60%
Aggrenox,Aspirin/Dipyridamole,1,"$54,177,207.55","6,707,169","84,766","17,397",$8.08,$639.14,"$3,114.17",0,-2.65%
Agrylin,Anagrelide HCl,1,"$212,176.42","26,646",224,41,$7.96,$947.22,"$5,175.03",0,3.30%
Aimovig Autoinjector,Erenumab-Aooe,1,"$12,485,893.16","21,507","17,481","8,254",$580.55,$714.26,"$1,512.71",0, 
Aimovig Autoinjector (2 Pack),Erenumab-Aooe,1,"$6,163,955.34","21,189","9,917","4,790",$290.90,$621.55,"$1,286.84",0, 
Airduo Respiclick,Fluticasone Propion/Salmeterol,1,"$254,968.43",854,771,469,$298.50,$330.70,$543.64,0,46.68%
Ajovy,Fremanezumab-Vfrm,1,"$1,033,232.41","2,656","1,498","1,199",$389.02,$689.74,$861.75,0, 
Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,1,"$4,002.05",879,247,199,$4.56,$16.20,$20.11,0,-1.29%
Akten,Lidocaine HCl/PF,1,"$2,452.77",94,53,45,$26.09,$46.28,$54.51,0,2.69%
Aktipak,Erythromycin/Benzoyl Peroxide,1,"$8,230.26","1,860",30,22,$4.42,$274.34,$374.10,0, 
Akynzeo,Netupitant/Palonosetron HCl,1,"$683,619.20","1,264",612,230,$540.84,"$1,117.02","$2,972.26",0,0.04%
Ala-Cort,Hydrocortisone,1,$310.10,"1,986",66,57,$0.16,$4.70,$5.44,0,-66.88%
Ala-Scalp,Hydrocortisone,1,"$115,641.27","8,023",255,188,$14.41,$453.50,$615.11,0,14.45%
Albendazole,Albendazole,2,"$2,032,186.29","11,751","1,111",877,$171.41,"$1,829.15","$2,317.20",0, 
Albenza,Albendazole,1,"$10,853,789.61","53,282","4,734","3,588",$203.70,"$2,292.73","$3,025.02",0,12.78%
Albutein,Albumin Human,1,"$13,299.87","16,610",37,15,$0.98,$359.46,$886.66,1,-8.86%
Albuterol Sulfate*,Albuterol Sulfate,14,"$22,597,275.86","66,289,249","572,473","206,848",$0.42,$39.47,$109.25,0,-4.15%
Alclometasone Dipropionate,Alclometasone Dipropionate,3,"$4,865,287.32","3,642,902","63,129","42,563",$1.33,$77.07,$114.31,0,-8.01%
Alcohol Pads,Alcohol Antiseptic Pads,2,"$23,123,138.85","55,090,123","381,211","112,879",$0.42,$60.66,$204.85,0,8.87%
Alcohol Prep Pads,Alcohol Antiseptic Pads,19,"$39,466,843.10","110,689,700","673,412","226,228",$0.34,$58.61,$174.46,0,4.21%
Alcohol Prep Swabs,Alcohol Antiseptic Pads,1,$136.71,"4,250",48,31,$0.03,$2.85,$4.41,0,-8.78%
Alcohol Swab,Alcohol Antiseptic Pads,2,"$69,545.25","3,023,465","24,345","8,773",$0.02,$2.86,$7.93,0,-43.99%
Alcohol Swabs,Alcohol Antiseptic Pads,12,"$180,681.84","7,555,283","60,689","26,745",$0.02,$2.98,$6.76,0,1.82%
Alcohol Wipes,Alcohol Antiseptic Pads,4,"$35,134.55","626,644","5,373","2,065",$0.06,$6.54,$17.01,0,38.65%
"Alcohol,Dehydrated",Ethyl Alcohol,1,"$6,528.27",315,22, ,$20.72,$296.74, ,1, 
Aldactazide,Spironolact/Hydrochlorothiazid,1,"$222,849.82","62,909","1,064",337,$3.69,$209.45,$661.28,0,6.17%
Aldactone,Spironolactone,1,"$640,482.50","209,500","2,851",789,$3.11,$224.65,$811.76,0,5.04%
Aldara,Imiquimod,1,"$28,087.51","2,553",172,98,$11.00,$163.30,$286.61,1,-82.93%
Aldurazyme,Laronidase,1,"$3,006,096.58","16,850",66, ,$178.40,"$45,546.92", ,0,3.59%
Alecensa,Alectinib HCl,1,"$64,635,716.51","1,048,698","4,690",806,$61.63,"$13,781.60","$80,193.20",0,8.33%
Alendronate Sodium,Alendronate Sodium,12,"$68,308,737.03","66,538,435","7,488,009","1,781,915",$1.09,$9.12,$38.33,0,0.18%
Alfuzosin HCl ER,Alfuzosin HCl,11,"$17,772,129.56","42,324,628","678,841","167,398",$0.42,$26.18,$106.17,0,6.06%
Alimta,Pemetrexed Disodium,1,"$7,522,797.52","4,784","1,462",279,"$2,371.45","$5,145.55","$26,963.43",0,-2.43%
Alinia,Nitazoxanide,1,"$11,892,395.74","120,442","5,539","4,126",$102.79,"$2,147.03","$2,882.31",0,21.59%
Aliqopa,Copanlisib Di-HCl,1,"$227,529.77",48,16, ,"$4,740.20","$14,220.61", ,1, 
Alkeran,Melphalan,1,"$2,919.19",287,13, ,$10.17,$224.55, ,1,-9.61%
Allopurinol,Allopurinol,14,"$151,698,128.98","636,774,206","8,937,952","1,959,605",$0.24,$16.97,$77.41,0,-6.09%
Allzital,Butalbital/Acetaminophen,1,"$448,866.47","45,183",440,210,$9.93,"$1,020.15","$2,137.46",1,95.46%
Almotriptan Malate,Almotriptan Malate,4,"$1,872,311.97","77,118","5,867","1,496",$24.31,$319.13,"$1,251.55",0,-5.37%
Alocril,Nedocromil Sodium,1,"$439,814.02","9,865","1,545",663,$44.58,$284.67,$663.37,0,11.09%
Alogliptin,Alogliptin Benzoate,1,"$7,271,325.04","1,196,640","26,378","8,107",$6.08,$275.66,$896.92,0,-1.48%
Alogliptin-Metformin,Alogliptin Benz/Metformin HCl,1,"$1,276,456.43","415,083","4,800","1,444",$3.08,$265.93,$883.97,0,-0.41%
Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,1,"$1,451,429.08","233,785","4,924","1,166",$6.21,$294.77,"$1,244.79",0,0.76%
Alomide,Lodoxamide Tromethamine,1,"$156,348.28","9,088",700,293,$17.20,$223.35,$533.61,0,8.01%
Alora,Estradiol,1,"$419,227.30","30,656","2,438",559,$13.68,$171.96,$749.96,0,12.11%
Alosetron HCl,Alosetron HCl,3,"$15,009,080.04","621,256","10,249","2,176",$24.24,"$1,464.44","$6,897.56",0,-1.17%
Aloxi,Palonosetron HCl,1,"$1,062,316.03","11,621","1,279",369,$91.41,$830.58,"$2,878.91",0,-0.23%
Alphagan P,Brimonidine Tartrate,1,"$200,421,266.97","6,877,190","755,451","175,525",$29.18,$265.30,"$1,141.84",0,10.47%
Alprazolam,Alprazolam,15,"$102,530,836.58","846,959,304","13,286,243","2,523,425",$0.12,$7.72,$40.63,0,15.48%
Alprazolam ER,Alprazolam,2,"$2,433,102.04","2,808,991","54,941","10,352",$0.89,$44.29,$235.04,0,48.62%
Alprazolam Intensol,Alprazolam,1,"$30,529.67","10,135",263,155,$3.01,$116.08,$196.97,0,-5.07%
Alprazolam ODT,Alprazolam,2,"$792,258.49","496,785","8,360","3,057",$1.54,$94.77,$259.16,0,2.66%
Alprazolam XR,Alprazolam,1,"$605,194.99","777,686","14,957","3,901",$0.79,$40.46,$155.14,0,48.41%
Alprostadil,Alprostadil,1,"$1,619.75",50,12, ,$32.40,$134.98, ,1, 
Alrex,Loteprednol Etabonate,1,"$12,292,278.23","286,920","42,114","19,132",$42.84,$291.88,$642.50,0,9.10%
Altace,Ramipril,1,"$5,805,847.31","881,762","10,659","2,248",$6.56,$544.69,"$2,582.67",0,14.92%
Altavera,Levonorgestrel-Ethin Estradiol,2,"$69,362.61","128,996","2,477",823,$0.54,$28.00,$84.28,0,23.95%
Altoprev,Lovastatin,1,"$2,153,012.40","77,816","1,446",434,$27.67,"$1,488.94","$4,960.86",0,15.88%
Altreno,Tretinoin,1,"$1,507.53",585,13,13,$2.58,$115.96,$115.96,1, 
Alunbrig,Brigatinib,2,"$12,363,134.42","41,525",732,151,$412.22,"$16,889.53","$81,875.06",0,404.31%
Alvesco,Ciclesonide,2,"$5,513,290.46","139,861","12,457","3,385",$39.45,$442.59,"$1,628.74",0,8.03%
Alyacen,Norethindrone-Ethinyl Estrad,1,"$119,714.10","199,624","4,693","1,226",$0.60,$25.51,$97.65,0,3.79%
Amabelz,Estradiol/Norethindrone Acet,1,"$973,393.50","367,464","5,357","1,733",$2.65,$181.70,$561.68,0,-6.77%
Amantadine,Amantadine HCl,23,"$42,600,415.53","46,561,998","512,594","95,221",$1.13,$83.11,$447.38,0,-10.02%
Amaryl,Glimepiride,1,"$1,167,864.63","391,866","4,469",935,$2.98,$261.33,"$1,249.05",0,0.12%
Ambien,Zolpidem Tartrate,1,"$13,105,485.82","783,130","21,248","3,744",$16.73,$616.79,"$3,500.40",0,1.85%
Ambien Cr,Zolpidem Tartrate,1,"$7,811,388.27","490,899","13,304","2,036",$15.93,$587.15,"$3,836.63",0,11.62%
Ambisome,Amphotericin B Liposome,1,"$746,873.35","22,550",469,93,$33.12,"$1,592.48","$8,030.90",0,-24.55%
Amcinonide,Amcinonide,1,"$387,351.90","79,005",954,541,$4.92,$406.03,$715.99,0,-2.54%
Amerge,Naratriptan HCl,1,"$501,019.10","8,889",612,113,$56.36,$818.66,"$4,433.80",0,-0.87%
Amethia,L-Norgest/E.Estradiol-E.Estrad,1,"$79,153.79","49,574",542,284,$1.60,$146.04,$278.71,0,10.47%
Amethia Lo,L-Norgest/E.Estradiol-E.Estrad,1,"$88,116.34","51,809",565,227,$1.70,$155.96,$388.18,0,11.75%
Amethyst,Levonorgestrel-Ethin Estradiol,1,"$56,853.20","38,584",832,176,$1.47,$68.33,$323.03,0,12.11%
Amicar,Aminocaproic Acid,1,"$6,755,554.68","386,303","2,646","1,200",$19.12,"$2,553.12","$5,629.63",0,3.12%
Amikacin Sulfate,Amikacin Sulfate,5,"$1,788,517.03","1,073,046","16,532","5,224",$1.81,$108.19,$342.37,0,29.72%
Amiloride HCl,Amiloride HCl,5,"$2,886,539.45","7,693,934","96,879","21,921",$0.38,$29.80,$131.68,0,-31.35%
Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,2,"$2,135,198.37","4,750,641","71,435","17,102",$0.45,$29.89,$124.85,0,2.17%
Aminocaproic Acid*,Aminocaproic Acid,1,"$63,383.49","3,574",24,21,$18.38,"$2,640.98","$3,018.26",1, 
Aminophylline,Aminophylline,1,$414.11,708,15,14,$1.17,$27.61,$29.58,1,-21.45%
Amiodarone HCl*,Amiodarone HCl,13,"$68,786,060.59","145,235,933","2,669,254","656,471",$0.50,$25.77,$104.78,0,5.66%
Amitiza,Lubiprostone,1,"$310,598,412.30","49,310,338","793,179","175,533",$6.30,$391.59,"$1,769.46",0,6.99%
Amitriptyline HCl,Amitriptyline HCl,10,"$88,120,117.22","240,070,928","3,798,483","783,073",$0.39,$23.20,$112.53,0,-3.62%
Amlodipine Besylate,Amlodipine Besylate,32,"$287,184,710.36","2,597,593,609","41,594,383","8,933,298",$0.11,$6.90,$32.15,0,-1.61%
Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril,9,"$58,266,407.80","126,172,381","1,892,257","411,008",$0.46,$30.79,$141.76,0,-15.45%
Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,4,"$29,143,961.82","6,851,906","100,111","24,562",$4.27,$291.12,"$1,186.55",0,-5.85%
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,10,"$27,163,708.54","12,653,743","212,891","48,873",$2.13,$127.59,$555.80,0,-22.27%
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,9,"$22,339,390.10","22,257,235","360,471","84,052",$1.01,$61.97,$265.78,0,-10.95%
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid,5,"$13,393,293.44","5,185,812","87,652","24,244",$2.59,$152.80,$552.44,0,-17.33%
Ammonium Lactate,Ammonium Lactate,3,"$25,954,581.82","309,153,198","996,920","408,522",$0.08,$26.03,$63.53,0,-0.60%
Amnesteem,Isotretinoin,1,"$276,071.72","42,392",933,442,$6.50,$295.90,$624.60,0,-13.73%
Amoxapine,Amoxapine,1,"$220,879.36","226,731","3,126",826,$1.01,$70.66,$267.41,0,4.69%
Amoxicillin,Amoxicillin,12,"$32,802,703.24","169,670,567","7,469,261","5,216,248",$0.20,$4.39,$6.29,0,2.83%
Amoxicillin-Clavulanate Pot ER,Amoxicillin/Potassium Clav,2,"$1,860,608.13","376,262","13,957","12,133",$4.94,$133.31,$153.35,0,8.11%
Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,9,"$62,938,240.96","101,839,067","4,971,402","3,813,223",$0.64,$12.66,$16.51,0,-5.54%
Amphetamine Sulfate,Amphetamine Sulfate,2,"$25,114.32","4,838",59,41,$5.20,$425.67,$612.54,0, 
Amphotericin B,Amphotericin B,1,"$230,884.89","129,804","1,032",266,$1.78,$223.73,$867.99,0,60.06%
Ampicillin Sodium*,Ampicillin Sodium,11,"$2,720,062.75","2,800,760","15,111","2,830",$2.49,$180.01,$961.15,0,71.25%
Ampicillin Trihydrate,Ampicillin Trihydrate,2,"$1,499,537.89","3,758,510","128,242","96,918",$0.40,$11.69,$15.47,0,54.48%
Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na,8,"$2,317,106.35","3,128,171","15,686","3,604",$1.89,$147.72,$642.93,0,136.43%
Ampyra,Dalfampridine,1,"$282,304,089.15","6,411,939","92,967","13,740",$44.03,"$3,036.61","$20,546.15",0,16.14%
Amrix,Cyclobenzaprine HCl,1,"$7,022,467.87","192,916","4,960","1,116",$36.41,"$1,415.82","$6,292.53",0,10.08%
Anadrol-50,Oxymetholone,1,"$654,939.23","15,251",207,35,$42.94,"$3,163.96","$18,712.55",0,6.47%
Anafranil,Clomipramine HCl,1,"$1,681,323.99","46,922",469,70,$35.85,"$3,584.91","$24,018.91",0,3.19%
Anagrelide HCl,Anagrelide HCl,2,"$11,607,139.96","4,382,883","40,603","7,321",$2.74,$285.87,"$1,585.46",0,0.99%
Analpram HC*,Hydrocortisone/Pramoxine,1,"$92,139.73","17,035",310,225,$5.77,$297.22,$409.51,0,-3.47%
Anaspaz,Hyoscyamine Sulfate,1,"$6,513.74","28,660",427,216,$0.23,$15.25,$30.16,0,4.97%
Anastrozole,Anastrozole,15,"$27,032,840.05","84,073,243","1,469,331","319,648",$0.32,$18.40,$84.57,0,-3.00%
Androderm,Testosterone,2,"$20,556,722.94","1,289,423","29,796","7,413",$16.12,$689.92,"$2,773.06",0,11.05%
Androgel,Testosterone,1,"$258,946,026.92","31,330,857","257,553","67,049",$8.49,"$1,005.41","$3,862.04",0,13.71%
Angeliq,Drospirenone/Estradiol,1,"$319,557.77","50,686","1,162",252,$6.31,$275.01,"$1,268.09",0,14.66%
Anoro Ellipta,Umeclidinium Brm/Vilanterol Tr,1,"$666,541,776.00","99,404,830","1,353,820","311,980",$6.71,$492.34,"$2,136.49",0,13.37%
Antabuse,Disulfiram,1,"$12,834.97","1,665",29, ,$7.71,$442.59, ,1,1.11%
Antara,"Fenofibrate,Micronized",1,"$1,097,658.43","73,874","1,414",362,$14.83,$776.28,"$3,032.21",0,-1.24%
Anucort-HC,Hydrocortisone Acetate,1,"$2,926.06",321,15,14,$9.12,$195.07,$209.00,1,-18.79%
Anusol-HC,Hydrocortisone,1,"$84,494.42","25,482",745,543,$3.32,$113.42,$155.61,0,18.07%
Apexicon E,Diflorasone Diacetate/Emoll,1,"$415,286.00","27,540",485,268,$15.08,$856.26,"$1,549.57",1,10.22%
Apidra,Insulin Glulisine,1,"$6,875,874.30","260,090","8,865","2,470",$26.44,$775.62,"$2,783.75",0,5.64%
Apidra Solostar,Insulin Glulisine,1,"$16,597,054.17","486,128","20,747","6,209",$34.14,$799.97,"$2,673.06",0,6.17%
Aplenzin,Bupropion HBr,1,"$8,542,405.74","87,237","2,177",372,$99.79,"$3,923.93","$22,963.46",0,8.48%
Apokyn,Apomorphine HCl,1,"$91,377,703.30","260,042","4,136","1,187",$351.40,"$22,093.26","$76,982.06",0,0.94%
Apraclonidine HCl,Apraclonidine HCl,2,"$450,318.15","39,825","5,214","2,013",$11.31,$86.37,$223.70,0,-4.58%
Aprepitant,Aprepitant,2,"$6,588,765.97","46,319","9,980","3,974",$148.35,$660.20,"$1,657.97",0,-9.24%
Apri,Desogestrel-Ethinyl Estradiol,1,"$237,084.88","405,913","9,155","1,898",$0.58,$25.90,$124.91,0,8.21%
Apriso,Mesalamine,1,"$110,192,278.47","27,294,544","181,249","33,823",$4.04,$607.96,"$3,257.91",0,9.94%
Aptensio XR,Methylphenidate HCl,1,"$105,989.78","13,446",357,95,$7.87,$296.89,"$1,115.68",0,8.20%
Aptiom,Eslicarbazepine Acetate,1,"$82,604,945.58","2,642,490","66,831","7,686",$31.26,"$1,236.03","$10,747.46",0,10.22%
Aptivus,Tipranavir,1,"$2,451,445.79","182,620","1,456",164,$13.42,"$1,683.69","$14,947.84",0,5.80%
Aralast NP,Alpha-1-Proteinase Inhibitor,1,"$38,921,231.87","70,265,606","4,265",366,$0.55,"$9,125.73","$106,342.16",0,3.23%
Aranelle,Norethindrone-Ethinyl Estrad,1,"$25,238.04","28,840",738,109,$0.88,$34.20,$231.54,0,2.08%
Aranesp,Darbepoetin Alfa In Polysorbat,1,"$49,085,276.64","30,601","31,689","6,664","$1,693.44","$1,548.97","$7,365.74",0,4.26%
Arava,Leflunomide,1,"$1,074,997.87","27,900",575,127,$38.52,"$1,869.56","$8,464.55",0,0.09%
Arcalyst,Rilonacept,1,"$2,575,838.20",513,113,15,"$5,021.13","$22,795.03","$171,722.55",0,-1.60%
Arcapta Neohaler,Indacaterol Maleate,2,"$945,750.19","113,250","2,540",589,$8.35,$372.34,"$1,605.69",0,12.39%
